02-01 08:22:23 INFO  epoch 0/50, 2000/56954, lr:0.0005, loss:19.834853
02-01 08:22:37 INFO  epoch 0/50, 4000/56954, lr:0.0005, loss:16.390867
02-01 08:22:48 INFO  epoch 0/50, 6000/56954, lr:0.0005, loss:14.813393
02-01 08:23:00 INFO  epoch 0/50, 8000/56954, lr:0.0005, loss:13.850247
02-01 08:23:12 INFO  epoch 0/50, 10000/56954, lr:0.0005, loss:13.192841
02-01 08:23:23 INFO  epoch 0/50, 12000/56954, lr:0.0005, loss:12.699481
02-01 08:23:35 INFO  epoch 0/50, 14000/56954, lr:0.0005, loss:12.312691
02-01 08:23:47 INFO  epoch 0/50, 16000/56954, lr:0.0005, loss:11.995940
02-01 08:23:58 INFO  epoch 0/50, 18000/56954, lr:0.0005, loss:11.730720
02-01 08:24:10 INFO  epoch 0/50, 20000/56954, lr:0.0005, loss:11.498994
02-01 08:24:21 INFO  epoch 0/50, 22000/56954, lr:0.0005, loss:11.297522
02-01 08:24:33 INFO  epoch 0/50, 24000/56954, lr:0.0005, loss:11.119578
02-01 08:24:44 INFO  epoch 0/50, 26000/56954, lr:0.0005, loss:10.960158
02-01 08:24:56 INFO  epoch 0/50, 28000/56954, lr:0.0005, loss:10.815005
02-01 08:25:08 INFO  epoch 0/50, 30000/56954, lr:0.0005, loss:10.683407
02-01 08:25:19 INFO  epoch 0/50, 32000/56954, lr:0.0005, loss:10.561770
02-01 08:25:31 INFO  epoch 0/50, 34000/56954, lr:0.0005, loss:10.450027
02-01 08:25:42 INFO  epoch 0/50, 36000/56954, lr:0.0005, loss:10.345286
02-01 08:25:54 INFO  epoch 0/50, 38000/56954, lr:0.0005, loss:10.248167
02-01 08:26:05 INFO  epoch 0/50, 40000/56954, lr:0.0005, loss:10.157291
02-01 08:26:15 INFO  epoch 0/50, 42000/56954, lr:0.0005, loss:10.072720
02-01 08:26:21 INFO  epoch 0/50, 44000/56954, lr:0.0005, loss:9.993243
02-01 08:26:27 INFO  epoch 0/50, 46000/56954, lr:0.0005, loss:9.917579
02-01 08:26:33 INFO  epoch 0/50, 48000/56954, lr:0.0005, loss:9.845472
02-01 08:26:41 INFO  epoch 0/50, 50000/56954, lr:0.0005, loss:9.776815
02-01 08:26:53 INFO  epoch 0/50, 52000/56954, lr:0.0005, loss:9.711405
02-01 08:27:04 INFO  epoch 0/50, 54000/56954, lr:0.0005, loss:9.649195
02-01 08:27:16 INFO  epoch 0/50, 56000/56954, lr:0.0005, loss:9.589172
02-01 08:27:23 INFO  epoch 0/50, 56954/56954, lr:0.0005, loss:9.561718
02-01 08:30:41 INFO  epoch 1/50, 2000/56954, lr:0.0004975, loss:7.901620
02-01 08:30:53 INFO  epoch 1/50, 4000/56954, lr:0.0004975, loss:7.874155
02-01 08:31:05 INFO  epoch 1/50, 6000/56954, lr:0.0004975, loss:7.846762
02-01 08:31:17 INFO  epoch 1/50, 8000/56954, lr:0.0004975, loss:7.822603
