11-10 03:48:20 INFO  epoch 0/120, 2000/56954, lr:0.0005, loss:12.676232
11-10 03:48:28 INFO  epoch 0/120, 4000/56954, lr:0.0005, loss:10.427065
11-10 03:48:35 INFO  epoch 0/120, 6000/56954, lr:0.0005, loss:9.274326
11-10 03:49:04 INFO  epoch 0/120, 8000/56954, lr:0.0005, loss:8.517106
11-10 03:49:18 INFO  epoch 0/120, 10000/56954, lr:0.0005, loss:7.960091
11-10 03:49:31 INFO  epoch 0/120, 12000/56954, lr:0.0005, loss:7.515551
11-10 03:49:45 INFO  epoch 0/120, 14000/56954, lr:0.0005, loss:7.155893
11-10 03:49:59 INFO  epoch 0/120, 16000/56954, lr:0.0005, loss:6.856076
11-10 03:50:12 INFO  epoch 0/120, 18000/56954, lr:0.0005, loss:6.595973
11-10 03:50:26 INFO  epoch 0/120, 20000/56954, lr:0.0005, loss:6.367195
11-10 03:50:40 INFO  epoch 0/120, 22000/56954, lr:0.0005, loss:6.163663
11-10 03:50:54 INFO  epoch 0/120, 24000/56954, lr:0.0005, loss:5.981713
11-10 03:51:07 INFO  epoch 0/120, 26000/56954, lr:0.0005, loss:5.816660
11-10 03:51:21 INFO  epoch 0/120, 28000/56954, lr:0.0005, loss:5.666244
11-10 03:51:35 INFO  epoch 0/120, 30000/56954, lr:0.0005, loss:5.527852
11-10 03:51:48 INFO  epoch 0/120, 32000/56954, lr:0.0005, loss:5.400825
11-10 03:52:02 INFO  epoch 0/120, 34000/56954, lr:0.0005, loss:5.283753
11-10 03:52:16 INFO  epoch 0/120, 36000/56954, lr:0.0005, loss:5.175729
11-10 03:52:29 INFO  epoch 0/120, 38000/56954, lr:0.0005, loss:5.074623
11-10 03:52:43 INFO  epoch 0/120, 40000/56954, lr:0.0005, loss:4.980567
11-10 03:52:57 INFO  epoch 0/120, 42000/56954, lr:0.0005, loss:4.892661
11-10 03:53:11 INFO  epoch 0/120, 44000/56954, lr:0.0005, loss:4.810090
11-10 03:53:24 INFO  epoch 0/120, 46000/56954, lr:0.0005, loss:4.731619
11-10 03:53:38 INFO  epoch 0/120, 48000/56954, lr:0.0005, loss:4.658171
11-10 03:53:52 INFO  epoch 0/120, 50000/56954, lr:0.0005, loss:4.588783
11-10 03:54:05 INFO  epoch 0/120, 52000/56954, lr:0.0005, loss:4.522754
11-10 03:54:19 INFO  epoch 0/120, 54000/56954, lr:0.0005, loss:4.460241
11-10 03:54:33 INFO  epoch 0/120, 56000/56954, lr:0.0005, loss:4.401340
11-10 03:54:39 INFO  epoch 0/120, 56954/56954, lr:0.0005, loss:4.373804
11-10 03:57:00 INFO  epoch 1/120, 2000/56954, lr:0.0004975, loss:2.741373
11-10 03:57:14 INFO  epoch 1/120, 4000/56954, lr:0.0004975, loss:2.718121
11-10 03:57:27 INFO  epoch 1/120, 6000/56954, lr:0.0004975, loss:2.704737
11-10 03:57:41 INFO  epoch 1/120, 8000/56954, lr:0.0004975, loss:2.686881
11-10 03:57:55 INFO  epoch 1/120, 10000/56954, lr:0.0004975, loss:2.671716
11-10 03:58:08 INFO  epoch 1/120, 12000/56954, lr:0.0004975, loss:2.656386
11-10 03:58:22 INFO  epoch 1/120, 14000/56954, lr:0.0004975, loss:2.641793
11-10 03:58:36 INFO  epoch 1/120, 16000/56954, lr:0.0004975, loss:2.627367
11-10 03:58:49 INFO  epoch 1/120, 18000/56954, lr:0.0004975, loss:2.613874
11-10 03:59:03 INFO  epoch 1/120, 20000/56954, lr:0.0004975, loss:2.601001
11-10 03:59:17 INFO  epoch 1/120, 22000/56954, lr:0.0004975, loss:2.587631
11-10 03:59:30 INFO  epoch 1/120, 24000/56954, lr:0.0004975, loss:2.574922
11-10 03:59:44 INFO  epoch 1/120, 26000/56954, lr:0.0004975, loss:2.563196
11-10 03:59:58 INFO  epoch 1/120, 28000/56954, lr:0.0004975, loss:2.551261
11-10 04:00:11 INFO  epoch 1/120, 30000/56954, lr:0.0004975, loss:2.538710
11-10 04:00:25 INFO  epoch 1/120, 32000/56954, lr:0.0004975, loss:2.526386
11-10 04:00:39 INFO  epoch 1/120, 34000/56954, lr:0.0004975, loss:2.515523
11-10 04:00:52 INFO  epoch 1/120, 36000/56954, lr:0.0004975, loss:2.504291
11-10 04:01:06 INFO  epoch 1/120, 38000/56954, lr:0.0004975, loss:2.493080
11-10 04:01:20 INFO  epoch 1/120, 40000/56954, lr:0.0004975, loss:2.483021
11-10 04:01:33 INFO  epoch 1/120, 42000/56954, lr:0.0004975, loss:2.473026
11-10 04:01:47 INFO  epoch 1/120, 44000/56954, lr:0.0004975, loss:2.463052
11-10 04:02:01 INFO  epoch 1/120, 46000/56954, lr:0.0004975, loss:2.452293
11-10 04:02:15 INFO  epoch 1/120, 48000/56954, lr:0.0004975, loss:2.443013
11-10 04:02:28 INFO  epoch 1/120, 50000/56954, lr:0.0004975, loss:2.433741
11-10 04:02:42 INFO  epoch 1/120, 52000/56954, lr:0.0004975, loss:2.424917
11-10 04:02:51 INFO  epoch 1/120, 54000/56954, lr:0.0004975, loss:2.415722
11-10 04:02:59 INFO  epoch 1/120, 56000/56954, lr:0.0004975, loss:2.407009
11-10 04:03:02 INFO  epoch 1/120, 56954/56954, lr:0.0004975, loss:2.402410
11-10 04:04:38 INFO  epoch 2/120, 2000/56954, lr:0.0004950125, loss:2.143061
11-10 04:04:51 INFO  epoch 2/120, 4000/56954, lr:0.0004950125, loss:2.138631
11-10 04:05:05 INFO  epoch 2/120, 6000/56954, lr:0.0004950125, loss:2.131211
11-10 04:05:19 INFO  epoch 2/120, 8000/56954, lr:0.0004950125, loss:2.120343
11-10 04:05:32 INFO  epoch 2/120, 10000/56954, lr:0.0004950125, loss:2.113847
11-10 04:05:46 INFO  epoch 2/120, 12000/56954, lr:0.0004950125, loss:2.111008
11-10 04:06:00 INFO  epoch 2/120, 14000/56954, lr:0.0004950125, loss:2.103065
11-10 04:06:13 INFO  epoch 2/120, 16000/56954, lr:0.0004950125, loss:2.096643
11-10 04:06:27 INFO  epoch 2/120, 18000/56954, lr:0.0004950125, loss:2.089689
11-10 04:06:41 INFO  epoch 2/120, 20000/56954, lr:0.0004950125, loss:2.084437
11-10 04:06:55 INFO  epoch 2/120, 22000/56954, lr:0.0004950125, loss:2.078347
11-10 04:07:08 INFO  epoch 2/120, 24000/56954, lr:0.0004950125, loss:2.072687
11-10 04:07:22 INFO  epoch 2/120, 26000/56954, lr:0.0004950125, loss:2.067476
11-10 04:07:36 INFO  epoch 2/120, 28000/56954, lr:0.0004950125, loss:2.061113
11-10 04:07:49 INFO  epoch 2/120, 30000/56954, lr:0.0004950125, loss:2.055533
11-10 04:08:03 INFO  epoch 2/120, 32000/56954, lr:0.0004950125, loss:2.049870
11-10 04:08:17 INFO  epoch 2/120, 34000/56954, lr:0.0004950125, loss:2.045316
11-10 04:08:30 INFO  epoch 2/120, 36000/56954, lr:0.0004950125, loss:2.040254
11-10 04:08:44 INFO  epoch 2/120, 38000/56954, lr:0.0004950125, loss:2.035390
11-10 04:08:58 INFO  epoch 2/120, 40000/56954, lr:0.0004950125, loss:2.030079
11-10 04:09:11 INFO  epoch 2/120, 42000/56954, lr:0.0004950125, loss:2.025014
11-10 04:09:25 INFO  epoch 2/120, 44000/56954, lr:0.0004950125, loss:2.020222
11-10 04:09:39 INFO  epoch 2/120, 46000/56954, lr:0.0004950125, loss:2.015170
11-10 04:09:52 INFO  epoch 2/120, 48000/56954, lr:0.0004950125, loss:2.010407
11-10 04:10:03 INFO  epoch 2/120, 50000/56954, lr:0.0004950125, loss:2.005891
11-10 04:10:10 INFO  epoch 2/120, 52000/56954, lr:0.0004950125, loss:2.001302
11-10 04:10:18 INFO  epoch 2/120, 54000/56954, lr:0.0004950125, loss:1.997044
11-10 04:10:45 INFO  epoch 2/120, 56000/56954, lr:0.0004950125, loss:1.992293
11-10 04:10:51 INFO  epoch 2/120, 56954/56954, lr:0.0004950125, loss:1.990290
11-10 04:11:51 INFO  epoch 3/120, 2000/56954, lr:0.0004925374375, loss:1.859232
11-10 04:12:05 INFO  epoch 3/120, 4000/56954, lr:0.0004925374375, loss:1.857499
11-10 04:12:18 INFO  epoch 3/120, 6000/56954, lr:0.0004925374375, loss:1.844927
11-10 04:12:32 INFO  epoch 3/120, 8000/56954, lr:0.0004925374375, loss:1.845121
11-10 04:12:46 INFO  epoch 3/120, 10000/56954, lr:0.0004925374375, loss:1.841590
11-10 04:12:59 INFO  epoch 3/120, 12000/56954, lr:0.0004925374375, loss:1.839328
11-10 04:13:13 INFO  epoch 3/120, 14000/56954, lr:0.0004925374375, loss:1.835533
11-10 04:13:27 INFO  epoch 3/120, 16000/56954, lr:0.0004925374375, loss:1.831842
11-10 04:13:41 INFO  epoch 3/120, 18000/56954, lr:0.0004925374375, loss:1.828742
11-10 04:13:54 INFO  epoch 3/120, 20000/56954, lr:0.0004925374375, loss:1.825903
11-10 04:14:08 INFO  epoch 3/120, 22000/56954, lr:0.0004925374375, loss:1.822779
11-10 04:14:22 INFO  epoch 3/120, 24000/56954, lr:0.0004925374375, loss:1.820123
11-10 04:14:35 INFO  epoch 3/120, 26000/56954, lr:0.0004925374375, loss:1.817533
11-10 04:14:49 INFO  epoch 3/120, 28000/56954, lr:0.0004925374375, loss:1.814647
11-10 04:15:03 INFO  epoch 3/120, 30000/56954, lr:0.0004925374375, loss:1.811319
11-10 04:15:16 INFO  epoch 3/120, 32000/56954, lr:0.0004925374375, loss:1.807848
11-10 04:15:30 INFO  epoch 3/120, 34000/56954, lr:0.0004925374375, loss:1.804625
11-10 04:15:44 INFO  epoch 3/120, 36000/56954, lr:0.0004925374375, loss:1.801873
11-10 04:15:57 INFO  epoch 3/120, 38000/56954, lr:0.0004925374375, loss:1.798553
11-10 04:16:11 INFO  epoch 3/120, 40000/56954, lr:0.0004925374375, loss:1.795399
11-10 04:16:25 INFO  epoch 3/120, 42000/56954, lr:0.0004925374375, loss:1.792457
11-10 04:16:38 INFO  epoch 3/120, 44000/56954, lr:0.0004925374375, loss:1.789753
11-10 04:16:52 INFO  epoch 3/120, 46000/56954, lr:0.0004925374375, loss:1.787064
11-10 04:17:06 INFO  epoch 3/120, 48000/56954, lr:0.0004925374375, loss:1.784027
11-10 04:17:15 INFO  epoch 3/120, 50000/56954, lr:0.0004925374375, loss:1.781447
11-10 04:17:22 INFO  epoch 3/120, 52000/56954, lr:0.0004925374375, loss:1.778760
11-10 04:17:29 INFO  epoch 3/120, 54000/56954, lr:0.0004925374375, loss:1.775742
11-10 04:18:00 INFO  epoch 3/120, 56000/56954, lr:0.0004925374375, loss:1.773250
11-10 04:18:07 INFO  epoch 3/120, 56954/56954, lr:0.0004925374375, loss:1.772031
11-10 04:19:07 INFO  epoch 4/120, 2000/56954, lr:0.0004900747503125, loss:1.683881
11-10 04:19:21 INFO  epoch 4/120, 4000/56954, lr:0.0004900747503125, loss:1.684161
11-10 04:19:34 INFO  epoch 4/120, 6000/56954, lr:0.0004900747503125, loss:1.682989
11-10 04:19:48 INFO  epoch 4/120, 8000/56954, lr:0.0004900747503125, loss:1.679888
11-10 04:20:02 INFO  epoch 4/120, 10000/56954, lr:0.0004900747503125, loss:1.677077
11-10 04:20:15 INFO  epoch 4/120, 12000/56954, lr:0.0004900747503125, loss:1.675621
11-10 04:20:29 INFO  epoch 4/120, 14000/56954, lr:0.0004900747503125, loss:1.672946
11-10 04:20:43 INFO  epoch 4/120, 16000/56954, lr:0.0004900747503125, loss:1.672028
11-10 04:20:56 INFO  epoch 4/120, 18000/56954, lr:0.0004900747503125, loss:1.670524
11-10 04:21:10 INFO  epoch 4/120, 20000/56954, lr:0.0004900747503125, loss:1.667919
11-10 04:21:24 INFO  epoch 4/120, 22000/56954, lr:0.0004900747503125, loss:1.664890
11-10 04:21:38 INFO  epoch 4/120, 24000/56954, lr:0.0004900747503125, loss:1.663188
11-10 04:21:51 INFO  epoch 4/120, 26000/56954, lr:0.0004900747503125, loss:1.661469
11-10 04:22:05 INFO  epoch 4/120, 28000/56954, lr:0.0004900747503125, loss:1.659621
11-10 04:22:19 INFO  epoch 4/120, 30000/56954, lr:0.0004900747503125, loss:1.657994
11-10 04:22:32 INFO  epoch 4/120, 32000/56954, lr:0.0004900747503125, loss:1.656706
11-10 04:22:46 INFO  epoch 4/120, 34000/56954, lr:0.0004900747503125, loss:1.654926
11-10 04:23:00 INFO  epoch 4/120, 36000/56954, lr:0.0004900747503125, loss:1.653416
11-10 04:23:13 INFO  epoch 4/120, 38000/56954, lr:0.0004900747503125, loss:1.651233
11-10 04:23:27 INFO  epoch 4/120, 40000/56954, lr:0.0004900747503125, loss:1.648900
11-10 04:23:41 INFO  epoch 4/120, 42000/56954, lr:0.0004900747503125, loss:1.647466
11-10 04:23:54 INFO  epoch 4/120, 44000/56954, lr:0.0004900747503125, loss:1.645503
11-10 04:24:08 INFO  epoch 4/120, 46000/56954, lr:0.0004900747503125, loss:1.643583
11-10 04:24:22 INFO  epoch 4/120, 48000/56954, lr:0.0004900747503125, loss:1.642073
11-10 04:24:30 INFO  epoch 4/120, 50000/56954, lr:0.0004900747503125, loss:1.640300
11-10 04:24:38 INFO  epoch 4/120, 52000/56954, lr:0.0004900747503125, loss:1.638626
11-10 04:24:45 INFO  epoch 4/120, 54000/56954, lr:0.0004900747503125, loss:1.637230
11-10 04:25:13 INFO  epoch 4/120, 56000/56954, lr:0.0004900747503125, loss:1.635699
11-10 04:25:20 INFO  epoch 4/120, 56954/56954, lr:0.0004900747503125, loss:1.634796
11-10 04:26:22 INFO  epoch 5/120, 2000/56954, lr:0.0004876243765609375, loss:1.569566
11-10 04:26:35 INFO  epoch 5/120, 4000/56954, lr:0.0004876243765609375, loss:1.573089
11-10 04:26:49 INFO  epoch 5/120, 6000/56954, lr:0.0004876243765609375, loss:1.572882
11-10 04:27:03 INFO  epoch 5/120, 8000/56954, lr:0.0004876243765609375, loss:1.572978
11-10 04:27:16 INFO  epoch 5/120, 10000/56954, lr:0.0004876243765609375, loss:1.572250
11-10 04:27:30 INFO  epoch 5/120, 12000/56954, lr:0.0004876243765609375, loss:1.571744
11-10 04:27:44 INFO  epoch 5/120, 14000/56954, lr:0.0004876243765609375, loss:1.571038
11-10 04:27:57 INFO  epoch 5/120, 16000/56954, lr:0.0004876243765609375, loss:1.568317
11-10 04:28:11 INFO  epoch 5/120, 18000/56954, lr:0.0004876243765609375, loss:1.567154
11-10 04:28:25 INFO  epoch 5/120, 20000/56954, lr:0.0004876243765609375, loss:1.565922
11-10 04:28:38 INFO  epoch 5/120, 22000/56954, lr:0.0004876243765609375, loss:1.563880
11-10 04:28:52 INFO  epoch 5/120, 24000/56954, lr:0.0004876243765609375, loss:1.562560
11-10 04:29:06 INFO  epoch 5/120, 26000/56954, lr:0.0004876243765609375, loss:1.561217
11-10 04:29:19 INFO  epoch 5/120, 28000/56954, lr:0.0004876243765609375, loss:1.560101
11-10 04:29:33 INFO  epoch 5/120, 30000/56954, lr:0.0004876243765609375, loss:1.558801
11-10 04:29:47 INFO  epoch 5/120, 32000/56954, lr:0.0004876243765609375, loss:1.557435
11-10 04:30:00 INFO  epoch 5/120, 34000/56954, lr:0.0004876243765609375, loss:1.556387
11-10 04:30:14 INFO  epoch 5/120, 36000/56954, lr:0.0004876243765609375, loss:1.555005
11-10 04:30:28 INFO  epoch 5/120, 38000/56954, lr:0.0004876243765609375, loss:1.553727
11-10 04:30:41 INFO  epoch 5/120, 40000/56954, lr:0.0004876243765609375, loss:1.552883
11-10 04:30:55 INFO  epoch 5/120, 42000/56954, lr:0.0004876243765609375, loss:1.551340
11-10 04:31:09 INFO  epoch 5/120, 44000/56954, lr:0.0004876243765609375, loss:1.549815
11-10 04:31:22 INFO  epoch 5/120, 46000/56954, lr:0.0004876243765609375, loss:1.548627
11-10 04:31:36 INFO  epoch 5/120, 48000/56954, lr:0.0004876243765609375, loss:1.547352
11-10 04:31:43 INFO  epoch 5/120, 50000/56954, lr:0.0004876243765609375, loss:1.545839
11-10 04:31:50 INFO  epoch 5/120, 52000/56954, lr:0.0004876243765609375, loss:1.544869
11-10 04:32:01 INFO  epoch 5/120, 54000/56954, lr:0.0004876243765609375, loss:1.543460
